user_id,match_ids
1,26;41;134;181;310;463
2,133;141;145;151;152;263
3,4;5;19;91;135;166
4,3;52;117;135;193;401
5,3;4;10;19;41;483
6,30;52;135;395;402;449
7,91;171;330;396;400;486
8,108;113;162;254;462;469
9,102;103;200;272;374;445
10,3;5;41;42;157;284
11,410;415;419;421;424;500
12,65;90;124;168;387;494
13,211;222;296;422;437;472
14,138;160;169;294;330;457
15,69;139;167;217;292;380
16,18;26;122;336;347;407
17,48;70;105;167;260;397
18,16;106;205;267;408;500
19,3;5;91;135;396;400
20,128;155;279;380;459;460
21,37;39;194;349;359;368
22,110;236;246;273;362;410
23,79;102;130;156;272;489
24,121;178;328;388;426;427
25,104;165;257;289;290;372
26,1;162;249;341;397;469
27,159;171;260;391;395;492
28,27;47;294;391;392;399
29,30;69;127;279;401;402
30,6;29;135;171;398;400
31,74;78;143;230;413;414
32,86;131;136;147;322;471
33,73;74;140;351;364;464
34,35;79;189;367;380;463
35,73;83;85;323;348;365
36,38;275;307;339;346;367
37,21;40;206;297;405;466
38,36;89;275;321;346;388
39,21;40;253;349;359;466
40,37;39;203;253;307;466
41,1;10;181;373;377;389
42,119;138;154;190;241;315
43,126;144;150;413;455;498
44,46;182;305;306;334;451
45,32;296;313;314;434;435
46,44;182;305;306;334;451
47,28;80;101;300;301;327
48,17;47;80;191;217;300
49,97;113;166;387;452;461
50,38;203;283;308;321;350
51,204;237;303;390;417;485
52,6;116;228;392;447;448
53,88;198;387;391;392;399
54,186;276;325;370;473;497
55,110;277;284;302;345;373
56,57;163;250;269;384;453
57,45;58;59;201;418;478
58,57;59;185;188;331;386
59,57;58;200;331;418;478
60,97;158;166;228;261;397
61,280;361;369;381;405;494
62,78;218;245;317;347;375
63,64;184;220;238;249;470
64,203;214;234;383;432;484
65,12;80;125;159;300;327
66,104;141;151;441;487;496
67,222;271;287;326;482;499
68,94;123;173;226;318;381
69,15;292;330;394;402;456
70,81;161;167;223;329;491
71,72;75;89;235;297;348
72,71;75;83;235;353;356
73,33;35;83;85;140;142
74,31;33;140;351;364;464
75,71;72;76;235;352;353
76,75;153;235;253;349;465
77,89;309;322;352;358;497
78,31;62;197;237;464;473
79,34;81;93;101;329;491
80,47;65;159;300;301;327
81,5;156;187;242;412;436
82,120;170;196;199;200;289
83,71;72;73;85;140;352
84,145;153;197;351;355;423
85,35;73;83;323;348;365
86,32;131;147;298;322;358
87,74;140;235;354;359;423
88,34;53;142;237;350;355
89,38;71;77;235;321;466
90,12;65;216;379;406;486
91,7;19;171;260;396;400
92,154;202;241;336;345;417
93,79;101;102;220;240;494
94,68;196;226;318;363;381
95,100;106;120;205;284;386
96,2;109;248;286;472;493
97,49;60;183;217;240;261
98,100;120;257;273;289;290
99,220;221;287;326;490;499
100,25;95;98;108;205;257
101,79;81;93;102;272;445
